段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
層0:現状ベースライン記録	A-1	親設定の予実対比(期間)	適用開始日2026-03-01/DEFAULT¥800,000/単月設定なし/期間03/01-03/23	予算・実績ともに¥800,000×日割り率で算出(他固定費と同じ方式)	A-1_予実対比ベースライン.png	予実対比(期間03/01-03/23)	地代家賃の予算・実績と他固定費の日割り率を比較	予算¥800,000(日割り未適用)/実績¥608,000(=¥800,000×76%)。他固定費は予算=実績=月額×76%	NG	【不具合1:予算列日割り未適用】家賃¥478,241÷¥629,265=76%。地代家賃の予算列のみ日割り未適用。【不具合3:予算≠実績】予算¥800,000≠実績¥608,000。他固定費は予算=実績で差額¥0
層0:現状ベースライン記録	A-2	親設定の予実対比(年間)	適用開始日2026-03-01/DEFAULT¥800,000/単月設定なし	3月:予算¥800,000=実績¥800,000/1-2月:ブランクまたは¥0	A-2_予実対比年間ベースライン.png	予実対比(年間/地代家賃行)	月額ベースで予算=実績が成立するか(※年間予実対比は日割りなし・月額表示)	3月:予算¥800,000=実績¥800,000(100%)	OK	年間予実対比は月額ベース(日割りなし)。親設定では予算=実績で正常
層0:現状ベースライン記録	A-3	日割り率の算出根拠	A-1の結果から	日割り率の計算式を特定(暦日ベース/営業日ベース/その他)	A-3_日割り根拠.png	予実対比(期間03/01-03/23)	76%の算出根拠(暦日23/31=74.2%とは不一致のため計算方式の特定が必要)	全固定費が正確に76%。暦日23/31=74.2%とは不一致。算出根拠未特定	要確認	家賃・水道光熱費・減価償却費・固定人件費の全てが正確に76%→システム共通の日割りロジックだが算出根拠は不明
層1:親設定の日割り検証	B-1	予実対比(期間)の予算列日割り	DEFAULT¥800,000/単月設定なし	予算=¥800,000×76%=¥608,000(他固定費と同じ方式)	B-1_予実対比予算.png	予実対比(期間03/01-03/23)	地代家賃の予算列が他固定費と同じ日割りロジックか	予算¥800,000(月額のまま)。期待値¥608,000と不一致	NG	【不具合1】他固定費は月額×76%で日割り済み(家賃¥629,265→¥478,241等)。地代家賃のみ予算列に日割り未適用
層1:親設定の日割り検証	B-2	予実対比(期間)の実績列日割り	DEFAULT¥800,000/単月設定なし	実績=¥800,000×76%=¥608,000(予算列と同額)	B-2_予実対比実績.png	予実対比(期間03/01-03/23)	地代家賃の実績列が日割り済みか、かつ予算列と同額か	実績¥608,000(=¥800,000×76%)。日割り自体は正常だが予算¥800,000と不一致	NG	【不具合3】実績は日割り済み(¥608,000)だが予算が月額のまま(¥800,000)のため予算≠実績。他固定費は予算=実績で差額¥0
層1:親設定の日割り検証	B-3	予実対比(期間)と予実対比(年間)の整合	DEFAULT¥800,000/単月設定なし	年間は月額ベースで予算=実績。期間は日割りベースで予算=実績	B-3_画面間整合.png	予実対比(期間)+予実対比(年間)	2つの表示方式間での数値整合	年間:予算¥800,000=実績¥800,000(正常)。期間:予算¥800,000≠実績¥608,000(不具合1により不整合)	NG	年間(月額ベース)では正常だが、期間(日割りベース)では予算に日割り未適用のため不整合が発生
層2:単月設定の日割り検証	C-1	単月設定後の予実対比(期間)予算列	3月を¥555,555に単月設定	予算=¥555,555×76%=¥422,222(他固定費と同じ方式)	C-1_単月予算.png	予実対比(期間03/01-03/23)	単月設定値に日割りが適用されるか	予算¥555,555(月額のまま)。期待値¥422,222と不一致	NG	【不具合1】親設定と同様、単月設定でも予算列に日割り未適用
層2:単月設定の日割り検証	C-2	単月設定後の予実対比(期間)実績列	3月を¥555,555に単月設定	実績=¥555,555×76%=¥422,222(予算列と同額)	C-2_単月実績.png	予実対比(期間03/01-03/23)	単月設定値が実績の算出ソースになっているか	実績¥608,000(=DEFAULT¥800,000×76%)。期待値¥422,222と不一致	NG	【不具合2】実績の算出ソースがDEFAULT¥800,000のまま。単月設定¥555,555が実績計算に反映されていない
層2:単月設定の日割り検証	C-3	単月設定後の予実対比(年間)	3月を¥555,555に単月設定	3月:予算¥555,555=実績¥555,555(月額ベースで一致)	C-3_単月年間予実.png	予実対比(年間/地代家賃行)	月額ベースで予算=実績が成立するか(※年間は日割りなし)	予算¥555,555/実績¥800,000(144.0%)。予算≠実績	NG	【不具合2】年間予実対比(月額ベース・日割りなし)でも実績はDEFAULT¥800,000。単月設定¥555,555が実績に反映されていない
層2:単月設定の日割り検証	C-4	単月設定の予算対比率	C-1/C-2の結果から	予算対比率=100%(予算=実績なら)	C-4_単月対比率.png	予実対比(期間03/01-03/23)	予算対比率が100%か/乖離しているか	予算対比率109.4%(予算¥555,555/実績¥608,000)。期待値100%と不一致	NG	不具合1+不具合2の複合。予算は月額のまま(¥555,555)、実績はDEFAULT日割り(¥608,000)で二重に乖離
