段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
賃料設定:シミュレーション検証	RS-1	固定賃料のシミュレーション	賃料体系:固定賃料/固定¥180,532/売上¥10,000,000	シミュレーション金額¥180,532	RS-1_固定賃料.png	賃料設定シミュレーション	計算額が正しいか		未検証	賃料=固定賃料¥180,532
賃料設定:シミュレーション検証	RS-2	変動賃料×合算(オプションなし)	賃料体系:変動賃料/条件:合算/固定¥180,532/歩合13.75%/オプション全OFF/売上¥10,000,000	シミュレーション金額¥1,555,532	RS-2_変動合算.png	賃料設定シミュレーション	計算額が正しいか		未検証	180,532+10,000,000×13.75%=1,555,532
賃料設定:シミュレーション検証	RS-3	変動賃料×合算(全オプションON)	賃料体系:変動賃料/条件:合算/固定¥180,532/歩合13.75%/対象率50%/閾値¥3,000,000/最低保証¥1,200,000/売上¥10,000,000	シミュレーション金額¥1,200,000	RS-3_変動合算全オプション.png	賃料設定シミュレーション	対象率・閾値・最低保証が正しく適用されるか		未検証	対象売上5,000,000-3,000,000=2,000,000/歩合275,000/合算455,532/MAX(455,532,1,200,000)=1,200,000(最低保証適用)
賃料設定:シミュレーション検証	RS-4	変動賃料×最大値選択(全オプションON)	賃料体系:変動賃料/条件:最大値選択/固定¥180,532/歩合13.75%/対象率50%/閾値¥3,000,000/最低保証¥800,000/売上¥10,000,000	シミュレーション金額¥800,000	RS-4_変動最大値.png	賃料設定シミュレーション	MAX(歩合,固定)の選択と最低保証が正しく適用されるか		未検証	歩合275,000/MAX(180,532,275,000)=275,000/MAX(275,000,800,000)=800,000(最低保証適用)
賃料設定:シミュレーション検証	RS-5	段階別歩合×合算(全オプションON)	賃料体系:段階別歩合/条件:合算/3段階/固定¥180,532/段階5%8%10%(3M7M)/対象率50%/最低保証¥1,200,000/売上¥10,000,000	シミュレーション金額¥1,200,000	RS-5_段階合算.png	賃料設定シミュレーション	段階別歩合計算+合算+最低保証が正しいか		未検証	対象売上500万/歩合3,000,000×5%+2,000,000×8%=310,000/合算490,532/MAX(490,532,1,200,000)=1,200,000(最低保証適用)
賃料設定:シミュレーション検証	RS-6	段階別歩合×最大値選択(全オプションON)	賃料体系:段階別歩合/条件:最大値選択/3段階/固定¥180,532/段階5%8%10%(3M7M)/対象率50%/最低保証¥800,000/売上¥10,000,000	シミュレーション金額¥800,000	RS-6_段階最大値.png	賃料設定シミュレーション	段階別歩合計算+MAX選択+最低保証が正しいか		未検証	対象売上500万/歩合310,000/MAX(180,532,310,000)=310,000/MAX(310,000,800,000)=800,000(最低保証適用)
賃料設定:設定保存・表示	RS-7	賃料設定の保存完了	RS-6の設定を保存	「賃料設定を更新しました」メッセージ	RS-7_保存完了.png	地代家賃設定画面	保存完了メッセージと賃料設定一覧の表示		未検証	賃料設定一覧に適用開始日/ステータス/賃料体系/固定賃料/歩合率/条件が正しく表示
賃料設定:設定保存・表示	RS-8	賃料設定一覧の表示内容	RS-7保存後	適用開始日/現在タグ/段階別歩合/¥180,532/多段階/最大値選択が表示	RS-8_賃料設定一覧.png	地代家賃設定画面	一覧の各列の値が設定内容と一致するか		未検証	適用開始日2026-03-01/ステータス「現在」/賃料体系/固定賃料/歩合率/条件の全項目
賃料設定:設定保存・表示	RS-9	賃料情報(詳細)の表示	RS-7保存後の賃料情報セクション	設定した全パラメータが正しく表示	RS-9_賃料情報.png	地代家賃設定画面	賃料体系/条件選択/段階数/固定賃料/各段階の下限・上限・歩合率/最低保証/対象率が正しいか		未検証	入力値と表示値の完全一致を確認
賃料設定:設定保存・表示	RS-10	計算式の表示	RS-7保存後の計算式表示エリア	段階別の歩合率表示+合算or最大値選択の式+最低保証が正しく表示	RS-10_計算式.png	地代家賃設定画面	緑枠内の計算式テキストが設定内容と一致するか		未検証	「歩合対象売上=売上×50%」「段階1:0〜3,000,000→5%」等の表示
