段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
層0:前提	P-0	入力パラメータ	段階別歩合/最大値選択/3段階/固定180,532/5%8%10%(3M7M)/最低保証800,000/対象率50%/適用開始03/01。3月売上18,681,295/4月売上14,890,542。変更後:固定300,000/段階3→15%/最低保証500,000	-	-	-	パラメータ	-	-	3月800,000(最低保証)/4月800,000(最低保証)。変更後3月500,000/4月500,000
層0:前提	P-1	クリーンアップ	既存の単月設定・賃料設定を全削除	一覧が空	P-1.png	設定画面	クリーン状態	済	済	既存データ排除
層1:非表示	H-1	適用月モーダル非表示	親設定を保存	モーダルなしで自動適用	H-1.png	設定画面	保存完了/モーダルなし		未検証	先出リリース実装後に検証
層1:非表示	H-2	単月設定UI非表示	設定画面を表示	ボタン+一覧セクション非表示	H-2.png	設定画面	ボタン+セクション非表示		未検証	先出リリース実装後に検証
層1:非表示	H-3	単月モーダル導線非表示	月次予算設定/費用設定で確認	単月モーダル開かない/編集不可	H-3.png	月次予算設定+費用設定	両画面で無効化		未検証	先出リリース実装後に検証
層2:親設定作成	R-1	親設定新規作成+一覧	P-0で作成保存(適用開始03/01)	保存完了/一覧に03/01表示	R-1.png	設定画面	計算式+一覧がパラメータ一致	一覧OK/計算式OK/全パラメータ一致	OK	計算式+一覧の確認
層2:親設定作成	R-2	シミュレーション	売上18,681,295→800,000/14,890,542→800,000	3月:800,000(最低保証)/4月:800,000(最低保証)	R-2.png	シミュレーション	計算額が正しいか		未検証	3月:歩合704,065<最低保証。4月:歩合514,527<最低保証
層3:自動適用(初期)	A-1	年間予算一覧	R-1保存後	3月:800,000/4月:800,000/1-2月:なし/5月以降:ブランク	A-1.png	年間予算一覧	適用月にDEFAULT/非適用月は影響なし	3月800,000/4月800,000/5月以降ブランク	OK	3月4月とも最低保証800,000
層3:自動適用(初期)	A-2	月次予算設定(3月)	R-1保存後	予算構成に地代家賃800,000含む	A-2.png	月次予算設定(3月)	その他経費計・固定費用予算に含まれるか	800,000含む/固定費用予算2,849,200	OK	固定費用予算に800,000含む
層3:自動適用(初期)	A-3	年間予実対比(3月当月)	R-1保存後	3月:予算800,000=実績800,000(月額)/差額0/100%	A-3.png	年間予実対比	予算=実績(月額)	予算800,000=実績800,000/100%/差額0	OK	月額計上。予算=実績
層3:自動適用(初期)	A-4	予実対比・期間(3月当月)	R-1保存後/期間03/01-03/26	予算=実績=800,000×84%=672,000	A-4.png	予実対比(期間)	日割りで予算=実績	予算672,000=実績672,000/100%。日割り84%	OK	日割り足しあげ。予算=実績。他固定費と同率84%
